NAME,NAME.id,LOCATION.x,LOCATION.y,POSITION,SHAPE.length,SHAPE.orientation,SHAPE.width
b8946,7f8f929b-0b15-42d7-989f-e7727d0d359e,197.32063,61.171787,9,11.401958,137.01222,4.722641
b9043,f2dbfb0d-3ecd-436d-b8f0-e600aa3e2ff3,197.16936,59.588226,10,11.139397,136.0621,4.6033206
b8986,0591fca9-3bba-41c5-aed7-682c0431950b,239.55795,70.36173,9,22.888206,125.71436,5.395175
b9082,0832aaea-442b-4e7c-adbe-add345c339ba,239.41037,68.77615,10,23.278551,122.922485,5.2334547
b8987,b5ad8363-c3c6-44dd-b794-f721d3a7e1d7,264.5814,74.6613,9,25.255262,90.75689,6.130829
b9083,6250db43-4ccd-42b2-80a2-9e619df8fed6,264.79825,73.21477,10,25.765894,94.38746,6.4431663
b8752,d10e6a40-cd35-47b7-b47b-e12cec8741b5,164.92989,60.43131,7,16.079409,72.28921,6.0595875
b8832,6cee6cb9-5781-4cd6-81c2-253eabda4062,164.71774,61.009926,8,16.476187,72.684425,5.8116274
b8920,f8dff89b-aa8c-43e5-91a5-e648392af82d,165.55954,62.350742,9,16.645145,72.47805,5.2679815
b9018,cb8a4cc7-f3af-4c0c-9ecd-8dce91dd1551,164.731,60.735794,10,17.027388,73.0616,5.584964
b9101,aeecac01-70c6-4155-b713-5d68238e2f99,165.60637,60.319725,11,17.955341,76.90236,5.610449
b9046,5300a007-8a07-41da-aa8d-7e7cdb3f93dd,210.33357,62.673958,10,27.712378,145.40973,5.4241953
b9129,83ff44cf-9f34-4fe2-a19f-d9518a9027af,211.87294,61.710842,11,27.552074,145.4858,4.8322086
b9125,8fae4e69-451a-4ba9-b36c-a9baa1c663f0,198.44078,57.626675,11,11.461288,143.71397,4.8803678
b9148,b03c8f39-3309-45e5-af65-5be613b41250,294.95828,59.985977,11,20.708338,62.246414,6.6448603
b9160,c92bb916-3d5e-4325-8ffe-e70e7c18afec,267.96478,70.84112,11,26.675932,79.42864,6.378516
b8960,4a7009e1-a37a-4fde-976e-43ab1fddddb0,245.56023,63.583286,9,16.01302,121.62332,6.145811
b9058,cd1e4702-8084-4a48-ad7d-a2512e921f31,245.76834,61.716938,10,16.331545,119.01182,5.9038477
b9141,2349a8f7-6a3b-42d0-a3af-cee6aac7cef5,247.03104,60.22259,11,17.79136,130.06819,5.9126005
b9229,206f8ec4-5103-4e77-b327-a8c6d74d435a,246.84102,58.39364,12,17.777103,131.97545,6.0688853
b9238,ff59eaf0-990f-477e-816c-082fe937769a,295.2204,57.77627,12,21.084513,62.594902,6.5102463
b9251,2f74a83f-6669-4f8a-9a88-36dddaf58ff5,268.441,68.86643,12,26.327187,78.77723,6.5441813
b8749,6a39b23e-ba6d-4c91-994b-cb11b08d9cf0,157.73,70.37806,7,13.2212515,82.6435,4.7968884
b8829,d010d203-15b6-42c7-914a-2d4801ce72ac,157.12837,71.08493,8,12.9764385,83.36331,4.6985703
b8914,d588c2c0-2b6b-47d3-9bdb-1d35fc93c97c,157.84076,72.53374,9,13.93586,79.991905,4.9932523
b9013,edcc1e0f-5a77-4468-b9a0-5fd3177ad0e0,156.64636,71.04163,10,13.539508,79.31134,4.972539
b9099,b3af539b-25a2-45ca-b035-9f4281de13ce,157.36844,70.28522,11,14.54735,80.33297,4.7512465
b9183,352994ce-53e5-439d-ac74-d5ac561b6f7d,157.08267,68.33956,12,14.053869,82.02125,5.236707
b9261,970bd8b5-de19-4ef1-a943-a28973b19023,156.99973,68.04215,13,14.727387,78.17487,4.81012
